,Frequency,Image,Orientation,1st PC Layer 0,2nd PC Layer 0,1st PC Layer 1,2nd PC Layer 1,1st PC Layer 2,2nd PC Layer 2,1st PC Layer 3,2nd PC Layer 3,1st PC Layer 4,2nd PC Layer 4,1st PC Layer 5,2nd PC Layer 5,1st PC Layer 6,2nd PC Layer 6,1st PC Layer 7,2nd PC Layer 7,1st PC Layer 8,2nd PC Layer 8,1st PC Layer 9,2nd PC Layer 9,1st PC Layer 10,2nd PC Layer 10,1st PC Layer 11,2nd PC Layer 11,1st PC Layer 12,2nd PC Layer 12,1st PC Layer 13,2nd PC Layer 13,1st PC Layer 14,2nd PC Layer 14,1st PC Layer 15,2nd PC Layer 15,1st PC Layer 16,2nd PC Layer 16,1st PC Layer 17,2nd PC Layer 17,1st PC Layer 18,2nd PC Layer 18,1st PC Layer 19,2nd PC Layer 19,1st PC Layer 20,2nd PC Layer 20,1st PC Layer 21,2nd PC Layer 21,1st PC Layer 22,2nd PC Layer 22,1st PC Layer 23,2nd PC Layer 23,1st PC Layer 24,2nd PC Layer 24,1st PC Layer 25,2nd PC Layer 25
10,20,f20o11,11,1768.8116256163112,-4838.6816251988475,1768.8116256163112,-4838.6816251988475,1768.8116256163112,-4838.6816251988475,2562.8046868569945,-7162.588116774769,2562.804646022782,-7162.588128935698,20.02191129710758,-55.95771975729354,-23.27313825196835,-56.016013415164274,-38.75526511539575,-55.098060339425565,36.94466118189932,-80.34526029913069,-102.25857256285776,14.998677929291972,-83.44630865306249,-66.87264153306597,-203.3389197104356,-140.62578841169892,125.8280027323888,110.34954709312446,144.0599527228443,-52.5223745645449,134.5144784345553,74.78366639541827,93.28113015416945,61.84597765107203,93.94720824462082,66.95411069119488,82.16305664934109,64.13966446247174,102.27253876104292,41.06440907647679,90.26690618040313,-22.859771369703424,31.87283502691179,29.521423442309587,-41.47971340770751,33.27337809484575,23.041993612854878,31.219111494940616,35.98327446148439,88.95745264703359,3.9597534032819355,8.33617724941797,-0.3438181216590052,-0.04279130352497098
11,20,f20o21,21,3106.649775517585,-4658.254575546137,3106.649775517585,-4658.254575546137,3106.649775517585,-4658.254575546137,4555.128033246589,-6894.235289258304,4555.127990560587,-6894.235316667398,35.586937426305084,-53.86121341142968,-30.517203874939693,-60.62792918843415,-29.198017838537165,-56.00914182507185,21.771995732434245,-84.1883524977715,-90.51162264395285,7.2448113339035,-66.05819551630603,-55.408617559849375,-159.86349845959597,-112.73086978225062,97.65792771183251,87.0243940021396,115.2923468300359,-52.804789130598685,97.01442937715774,40.22999419294112,68.43983061016782,50.66610471922888,69.83680018352325,70.17241063931097,60.26911605714299,62.984800387330665,97.11406915113092,17.273698137551055,84.66231538365847,-3.0735829411910434,32.2729936219661,19.793467981068236,-42.13604756657873,25.417402684102008,25.790807933382265,26.69411632149849,47.146125087083675,71.6257718796611,5.053177898699979,6.908692900919558,-0.30579099325373477,-0.03937671183491215
12,20,f20o31,31,4146.790388520535,-2820.721968744874,4146.790388520535,-2820.721968744874,4146.790388520535,-2820.721968744874,6109.992371273394,-4173.719159189142,6109.992344096936,-4173.719194197409,47.73431518829166,-32.60718120462786,-39.33918465582941,-56.82311571078467,-17.083188692274007,-56.45650694278452,1.7810074926417647,-87.655179912995,-80.32570232589102,-4.315984684682785,-44.12660963271105,-50.181825453918144,-104.19660606879258,-99.95016365021212,60.51952794017918,75.30044568378825,80.6569325640291,-60.641787251300606,49.669147443933035,19.679021341965047,33.563406282322205,46.65680810164325,34.976025312471826,76.33061444454138,31.79533214819235,62.08434301403375,85.32320997936242,-9.30300674049594,73.09687404754946,16.025522302076887,29.636448809610897,9.530263047614634,-38.53784790732885,14.14437116755551,26.799150606948615,18.18894478401224,64.81092550656284,62.541665019845865,5.917998215148921,5.960910511770294,0.093420253593082,-0.010601015158353
13,20,f20o41,41,4533.10895730314,13.722181789982967,4533.10895730314,13.722181789982967,4533.10895730314,13.722181789982967,6687.295900385235,22.87399734262613,6687.295903711228,22.87396288778577,52.244499247750596,0.17870283510560622,-49.40833626739836,-47.3537222733403,-3.651146630871007,-57.43967466080767,-21.593263572275287,-89.7432292032287,-73.377946391979,-18.68364132817799,-19.716920964210537,-51.40626598614633,-41.805637615485054,-104.5688745605182,19.4862678057219,76.01522146801751,44.40665699745783,-76.11009830874636,-3.163632114230659,17.767674859156354,-4.370752008497414,49.86320313441168,-7.924997950177114,83.56042905389522,-2.512890088377726,64.95334599653516,68.53209335350854,-39.150037214010915,51.953152440083706,39.16332099555419,26.253727987170116,-4.071602149990987,-31.841718865818546,-1.9601826879777733,25.79937663350285,3.908211698665312,74.21256178524402,29.512581392850482,5.799683981892382,3.1068132245812836,-0.14398724012699515,-0.023265394962822313
14,20,f20o51,51,4129.828336666148,2844.4361881508203,4129.828336666148,2844.4361881508203,4129.828336666148,2844.4361881508203,6081.329648933497,4213.993218285954,6081.329676689558,4213.993185721514,47.51038809911271,32.921821763491316,-58.84376145575173,-35.50362603538263,10.340260091628725,-59.05968402833507,-46.01433073925642,-89.22161010488534,-71.27194411839865,-34.09625282343644,2.849176045924587,-59.48520935258839,14.89016811661887,-127.40115456210762,-16.40412011769852,89.03309443957399,14.975041961429906,-95.56618734173115,-47.81570762973213,32.76341512456514,-33.19929025321074,56.599813083864646,-40.868884725728314,85.21603376171866,-31.373760476777257,69.10038458818104,57.028984349883466,-65.36649973470398,36.33471379856944,60.055686925995786,26.848834092955354,-17.07280132733425,-34.18634026796533,-15.262139846728257,31.937630084575446,-7.370971688987074,99.78811160024644,-7.603613867902593,8.409795663100102,-0.9077556488011221,-0.3538621993856461,-0.008147074816558623
15,20,f20o61,61,3079.197135480252,4673.2796621210655,3079.197135480252,4673.2796621210655,3079.197135480252,4673.2796621210655,4508.073797178417,6920.774765003315,4508.073837269194,6920.77474262548,35.21932685362218,54.06855267679186,-64.76402559800731,-24.09097673027458,23.284750630252233,-60.828436425851514,-67.22349926919598,-85.83977401804272,-74.29983092849466,-48.3946675201793,20.584240581337532,-74.00180839024114,57.5379349073961,-166.6217713793419,-42.821895011462615,113.82095032866039,-1.6918583634796223,-120.93790530727712,-78.78085326080668,63.69623532954271,-54.384998697923834,68.7676283958629,-63.63153673865757,86.16708277348023,-50.11909351769688,72.98530163400177,49.11260137889113,-82.29356836008782,24.0431640483516,70.909202780811,26.63044636236813,-22.623098871173973,-36.581042263111094,-21.44279383509444,35.56017857127371,-10.731662190918177,106.70380608631304,-25.496538399004688,9.351507814605792,-2.4347264772878416,-0.3894219167539889,0.011957516740838121
16,20,f20o71,71,1740.1526244744218,4846.653077787716,1740.1526244744218,4846.653077787716,1740.1526244744218,4846.653077787716,2512.9642164201737,7176.673790566477,2512.964248186027,7176.673774600623,19.632533188898062,56.067763864085016,-62.95461375470174,-14.88133709436669,33.632261215436415,-61.28794102458297,-82.24878845627325,-78.96066496147373,-81.54860500283968,-60.203164580254345,32.78889254547016,-92.89152058667382,83.85634167276511,-216.5072052828829,-58.0351910483016,146.80416491387183,-4.8887111902784435,-148.6635064370483,-91.88448215386055,105.80955166011466,-63.74969106113537,83.28632195651139,-74.68392428712683,89.0734343128339,-58.9709112634989,75.50083795666741,40.195820580868336,-90.68662513555446,14.13785816574725,74.10778172732391,26.41979595820831,-23.96205889466482,-36.95849058020306,-21.620584689438914,33.44183421031701,-11.211883477794055,107.61210702442088,-23.494848658065973,9.261163371427767,-2.6728640681419624,-0.415058056906885,0.04627096631003293
17,20,f20o81,81,574.0604794018134,3351.3614956518,574.0604794018134,3351.3614956518,574.0604794018134,3351.3614956518,794.018351476373,4963.1675229495795,794.0183702843432,4963.167516784997,6.203268517807431,38.77474622489116,-49.06003403076996,-8.476169495714256,38.819338182197384,-56.67918432856741,-85.36815207950275,-64.91427899426654,-88.6010636427605,-66.23049455435076,38.36780149002744,-111.12694062168678,91.7539537709278,-263.83906341211156,-59.86353047219012,180.55108645569308,2.776101356891544,-170.00575992302356,-85.51696875080725,149.53514358602894,-57.578011719272624,96.71095618564541,-69.1143613660024,87.76640086370182,-55.07049458239439,78.00885736947687,38.73858251127613,-84.94434978162434,14.950599165552573,67.52529407445982,25.453999099201784,-19.79778694429888,-36.39388284097796,-16.080445114071026,30.01663307842294,-9.311956736988872,96.3090672056184,-12.474640642475768,8.744513720362994,-2.554761034485684,-0.4126787653659947,0.12442216588815116
18,30,f30o01,1,-630.7290675409553,-1906.0423504405403,-630.7290675409553,-1906.0423504405403,-630.7290675409553,-1906.0423504405403,-990.5013061533576,-2775.5969191436343,-990.5013228647231,-2775.596918848645,-7.738291584863288,-21.68435092851678,-0.3832995338442871,-37.96848417077799,-52.12850512950681,-39.338638864492296,64.96733537001958,-60.90896851930934,-99.00255393354337,36.882760362599306,-104.67981600643108,-65.85411500600178,-258.2371273948907,-141.19228624254467,163.04164104449444,109.18793208048771,175.620126532058,-35.30863672368246,179.11357372017738,97.87430138190578,106.18510555737863,49.09232835817324,111.16378949234668,38.602697264250246,99.12417103289671,36.056574697533286,71.7763054121562,74.76135032498016,58.99480051453547,-48.90074632068305,14.34022569373932,32.300310806933986,-17.611480688067026,32.2126168040472,-0.6054255747843326,29.123695577677992,-24.28821538982446,64.8347468895748,-2.4592052142048537,5.84047619142226,-0.3470782193059309,-0.052496202279587234
19,30,f30o11,11,-329.3112879928773,-2872.8128679642077,-329.3112879928773,-2872.8128679642077,-329.3112879928773,-2872.8128679642077,-564.8535255487323,-4182.307118151825,-564.853547944381,-4182.307119185411,-4.412918343287255,-32.67427436864361,-1.5898210540744546,-48.16803737115263,-49.042294138324614,-42.307681158401046,60.662035342210324,-66.20623961692124,-83.77890545149714,34.20945410054272,-92.4470401609926,-43.96882375156994,-224.5114896736349,-88.00631141016372,141.24506153454442,65.52573928925658,147.04671062695513,-18.12509951889411,150.293314168107,50.201546929717836,97.47524756023168,29.520524782059827,101.49750124712398,37.416074597645185,87.72592089981242,34.42850983796598,67.9303706502964,58.414533514537744,51.839213228588044,-36.13279793485059,13.80571574938022,24.83257947576924,-20.238181723870085,26.348653285090595,4.627681652083212,28.395074294340926,-9.265099461979293,55.3217646135942,-0.8312584158572882,5.211625488057158,0.17775437171150713,-0.011804722488829626
